,V_f (m^3),work (J)
0,0.1,-0.0
1,0.10020000000000001,-4.981704577880839
2,0.1004,-9.949507641465845
3,0.10060000000000001,-14.903475559710149
4,0.1008,-19.843674253573166
5,0.101,-24.770169199926976
6,0.10120000000000001,-29.68302543541786
7,0.1014,-34.58230756029011
8,0.10160000000000001,-39.468079742169124
9,0.1018,-44.340405719800984
10,0.10200000000000001,-49.199348806757484
11,0.10220000000000001,-54.044971895096594
12,0.1024,-58.877337458989615
13,0.10260000000000001,-63.69650755830523
14,0.1028,-68.50254384215904
15,0.10300000000000001,-73.29550755242607
16,0.1032,-78.07545952721298
17,0.1034,-82.84246020429909
18,0.10360000000000001,-87.59656962453647
19,0.1038,-92.33784743521801
20,0.10400000000000001,-97.06635289341044
21,0.1042,-101.78214486924944
22,0.1044,-106.48528184920576
23,0.10460000000000001,-111.17582193931244
24,0.1048,-115.85382286836224
25,0.10500000000000001,-120.51934199107198
26,0.1052,-125.17243629121124
27,0.10540000000000001,-129.81316238470384
28,0.1056,-134.4415765226924
29,0.1058,-139.05773459457654
30,0.10600000000000001,-143.66169213101585
31,0.1062,-148.2535043069048
32,0.10640000000000001,-152.83322594431806
33,0.1066,-157.4009115154222
34,0.1068,-161.95661514536326
35,0.10700000000000001,-166.50039061512007
36,0.1072,-171.03229136433188
37,0.10740000000000001,-175.55237049409797
38,0.1076,-180.06068076974546
39,0.1078,-184.55727462357453
40,0.10800000000000001,-189.04220415757118
41,0.1082,-193.5155211460962
42,0.10840000000000001,-197.97727703854736
43,0.1086,-202.4275229619916
44,0.10880000000000001,-206.86630972377642
45,0.10900000000000001,-211.29368781411011
46,0.1092,-215.70970740861986
47,0.10940000000000001,-220.1144183708846
48,0.1096,-224.50787025493958
49,0.10980000000000001,-228.89011230776111
50,0.11000000000000001,-233.2611934717223
51,0.1102,-237.6211623870276
52,0.11040000000000001,-241.97006739412365
53,0.1106,-246.30795653608357
54,0.11080000000000001,-250.6348775609724
55,0.11100000000000002,-254.9508779241851
56,0.11120000000000001,-259.2560047907647
57,0.11140000000000001,-263.5503050376983
58,0.1116,-267.8338252561873
59,0.11180000000000001,-272.1066117539009
60,0.112,-276.3687105572019
61,0.11220000000000001,-280.6201674133576
62,0.11240000000000001,-284.8610277927232
63,0.1126,-289.09133689090834
64,0.11280000000000001,-293.3111396309223
65,0.113,-297.5204806652964
66,0.11320000000000001,-301.7194043781897
67,0.1134,-305.9079548874708
68,0.1136,-310.08617604678255
69,0.11380000000000001,-314.2541114475875
70,0.114,-318.4118044211905
71,0.11420000000000001,-322.5592980407468
72,0.1144,-326.69663512324684
73,0.11460000000000001,-330.82385823148627
74,0.11480000000000001,-334.94100967601366
75,0.115,-339.0481315170627
76,0.11520000000000001,-343.14526556646615
77,0.1154,-347.23245338954877
78,0.11560000000000001,-351.30973630700754
79,0.11580000000000001,-355.37715539676935
80,0.116,-359.4347514958346
81,0.11620000000000001,-363.4825652021035
82,0.1164,-367.52063687618295
83,0.11660000000000001,-371.54900664318006
84,0.11680000000000001,-375.5677143944758
85,0.117,-379.5767997894849
86,0.11720000000000001,-383.57630225739854
87,0.1174,-387.5662609989099
88,0.11760000000000001,-391.54671498792646
89,0.11780000000000002,-395.5177029732632
90,0.11800000000000001,-399.47926348032337
91,0.11820000000000001,-403.43143481276275
92,0.1184,-407.37425505413717
93,0.11860000000000001,-411.3077620695386
94,0.11880000000000002,-415.23199350721245
95,0.11900000000000001,-419.14698680016204
96,0.1192,-423.05277916774037
97,0.1194,-426.9494076172226
98,0.11960000000000001,-430.83690894537017
99,0.11980000000000002,-434.7153197399757
100,0.12000000000000001,-438.5846763813971
101,0.1202,-442.44501504407776
102,0.12040000000000001,-446.2963716980505
103,0.12060000000000001,-450.13878211043175
104,0.1208,-453.97228184689885
105,0.12100000000000001,-457.79690627315745
106,0.1212,-461.6126905563924
107,0.12140000000000001,-465.41966966670907
108,0.12160000000000001,-469.2178783785593
109,0.1218,-473.00735127215574
110,0.12200000000000001,-476.7881227348746
111,0.1222,-480.5602269626433
112,0.12240000000000001,-484.3236979613197
113,0.12260000000000001,-488.07856954805476
114,0.1228,-491.82487535264715
115,0.12300000000000001,-495.56264881888404
116,0.1232,-499.2919232058696
117,0.12340000000000001,-503.01273158934396
118,0.12360000000000002,-506.72510686298796
119,0.12380000000000001,-510.4290817397185
120,0.12400000000000001,-514.124688752973
121,0.1242,-517.8119602579796
122,0.12440000000000001,-521.4909284330205
123,0.12460000000000002,-525.1616252806807
124,0.12480000000000001,-528.8240826290883
125,0.125,-532.478332133143
126,0.1252,-536.124405275735
127,0.1254,-539.7623333689512
128,0.12560000000000002,-543.3921475552735
129,0.12580000000000002,-547.0138788087659
130,0.126,-550.62755793625
131,0.1262,-554.2332155784748
132,0.1264,-557.8308822112695
133,0.12660000000000002,-561.420588146693
134,0.12680000000000002,-565.0023635341703
135,0.127,-568.5762383616195
136,0.1272,-572.1422424565716
137,0.1274,-575.7004054872759
138,0.12760000000000002,-579.250756963801
139,0.12780000000000002,-582.7933262391243
140,0.128,-586.3281425102115
141,0.1282,-589.8552348190902
142,0.12840000000000001,-593.3746320539096
143,0.12860000000000002,-596.8863629499954
144,0.12880000000000003,-600.3904560908941
145,0.129,-603.8869399094103
146,0.1292,-607.3758426886309
147,0.12940000000000002,-610.8571925629465
148,0.12960000000000002,-614.3310175190599
149,0.12980000000000003,-617.7973453969882
150,0.13,-621.2562038910584
151,0.1302,-624.7076205508881
152,0.13040000000000002,-628.1516227823665
153,0.13060000000000002,-631.588237848621
154,0.1308,-635.0174928709789
155,0.131,-638.439414829922
156,0.1312,-641.8540305660283
157,0.13140000000000002,-645.2613667809119
158,0.1316,-648.6614500381515
159,0.13180000000000003,-652.054306764215
160,0.132,-655.4399632493682
161,0.1322,-658.8184456485897
162,0.13240000000000002,-662.1897799824633
163,0.1326,-665.553992138075
164,0.1328,-668.9111078698959
165,0.133,-672.2611528006603
166,0.1332,-675.6041524222379
167,0.13340000000000002,-678.9401320964948
168,0.1336,-682.2691170561527
169,0.1338,-685.5911324056367
170,0.134,-688.9062031219198
171,0.1342,-692.2143540553586
172,0.13440000000000002,-695.5156099305223
173,0.1346,-698.8099953470144
174,0.1348,-702.0975347802923
175,0.135,-705.3782525824735
176,0.13520000000000001,-708.6521729831395
177,0.13540000000000002,-711.9193200901339
178,0.1356,-715.179717890351
179,0.1358,-718.433390250522
180,0.136,-721.6803609179912
181,0.13620000000000002,-724.9206535214876
182,0.13640000000000002,-728.1542915718919
183,0.1366,-731.3812984629942
184,0.1368,-734.6016974722504
185,0.137,-737.8155117615261
186,0.13720000000000002,-741.0227643778411
187,0.13740000000000002,-744.2234782541042
188,0.1376,-747.4176762098427
189,0.1378,-750.6053809519295
190,0.138,-753.7866150752978
191,0.13820000000000002,-756.9614010636571
192,0.13840000000000002,-760.1297612901996
193,0.1386,-763.291718018302
194,0.1388,-766.447293402224
195,0.139,-769.5965094877963
196,0.13920000000000002,-772.7393882131087
197,0.13940000000000002,-775.875951409189
198,0.1396,-779.0062208006796
199,0.1398,-782.1302180065072
200,0.14,-785.2479645405466
201,0.14020000000000002,-788.3594818122808
202,0.14040000000000002,-791.464791127456
203,0.1406,-794.5639136887307
204,0.1408,-797.6568705963215
205,0.14100000000000001,-800.7436828486402
206,0.14120000000000002,-803.8243713429312
207,0.14140000000000003,-806.8989568758991
208,0.1416,-809.9674601443357
209,0.1418,-813.0299017457403
210,0.14200000000000002,-816.0863021789329
211,0.14220000000000002,-819.1366818446677
212,0.14240000000000003,-822.1810610462383
213,0.1426,-825.2194599900789
214,0.1428,-828.2518987863637
215,0.14300000000000002,-831.2783974495962
216,0.14320000000000002,-834.2989758992001
217,0.14340000000000003,-837.3136539601012
218,0.1436,-840.3224513633079
219,0.1438,-843.3253877464864
220,0.14400000000000002,-846.32248265453
221,0.14420000000000002,-849.3137555401261
222,0.14440000000000003,-852.2992257643191
223,0.1446,-855.2789125970673
224,0.1448,-858.2528352177981
225,0.14500000000000002,-861.2210127159553
226,0.14520000000000002,-864.1834640915471
227,0.14540000000000003,-867.1402082556862
228,0.1456,-870.0912640311274
229,0.1458,-873.0366501528024
230,0.14600000000000002,-875.9763852683477
231,0.14620000000000002,-878.9104879386309
232,0.14640000000000003,-881.8389766382729
233,0.1466,-884.7618697561644
234,0.1468,-887.6791855959831
235,0.14700000000000002,-890.5909423767001
236,0.1472,-893.4971582330888
237,0.14740000000000003,-896.3978512162286
238,0.1476,-899.2930392940013
239,0.14780000000000001,-902.1827403515892
240,0.14800000000000002,-905.0669721919655
241,0.1482,-907.9457525363832
242,0.1484,-910.8190990248611
243,0.1486,-913.687029216662
244,0.14880000000000002,-916.5495605907741
245,0.14900000000000002,-919.406710546382
246,0.1492,-922.2584964033399
247,0.1494,-925.1049354026386
248,0.1496,-927.9460447068689
249,0.14980000000000002,-930.7818414006824
250,0.15000000000000002,-933.6123424912496
251,0.1502,-936.4375649087134
252,0.1504,-939.2575255066412
253,0.1506,-942.0722410624703
254,0.15080000000000002,-944.8817282779544
255,0.15100000000000002,-947.6860037796035
256,0.1512,-950.485084119123
257,0.1514,-953.2789857738486
258,0.1516,-956.067725147177
259,0.15180000000000002,-958.8513185689958
260,0.15200000000000002,-961.6297822961092
261,0.1522,-964.4031325126595
262,0.1524,-967.1713853305496
263,0.1526,-969.9345567898566
264,0.15280000000000002,-972.6926628592472
265,0.15300000000000002,-975.4457194363887
266,0.1532,-978.1937423483557
267,0.1534,-980.9367473520381
268,0.15360000000000001,-983.6747501345396
269,0.15380000000000002,-986.4077663135797
270,0.15400000000000003,-989.1358114378895
271,0.1542,-991.8589009876057
272,0.1544,-994.5770503746626
273,0.15460000000000002,-997.290274943177
274,0.15480000000000002,-999.9985899698399
275,0.15500000000000003,-1002.7020106642933
276,0.1552,-1005.4005521695142
277,0.1554,-1008.094229562192
278,0.15560000000000002,-1010.7830578531008
279,0.15580000000000002,-1013.4670519874758
280,0.15600000000000003,-1016.1462268453804
281,0.1562,-1018.8205972420741
282,0.1564,-1021.4901779283782
283,0.15660000000000002,-1024.1549835910369
284,0.15680000000000002,-1026.8150288530765
285,0.15700000000000003,-1029.4703282741661
286,0.1572,-1032.120896350967
287,0.1574,-1034.7667475174906
288,0.15760000000000002,-1037.4078961454443
289,0.15780000000000002,-1040.0443565445805
290,0.15800000000000003,-1042.6761429630442
291,0.1582,-1045.3032695877096
292,0.1584,-1047.925750544528
293,0.15860000000000002,-1050.543599898861
294,0.15880000000000002,-1053.1568316558178
295,0.15900000000000003,-1055.7654597605901
296,0.1592,-1058.36949809878
297,0.15940000000000001,-1060.9689604967339
298,0.15960000000000002,-1063.5638607218648
299,0.15980000000000003,-1066.1542124829796
300,0.16000000000000003,-1068.7400294306017
301,0.1602,-1071.3213251572888
302,0.16040000000000001,-1073.8981131979544
303,0.16060000000000002,-1076.4704070301807
304,0.16080000000000003,-1079.0382200745348
305,0.16100000000000003,-1081.6015656948791
306,0.1612,-1084.160457198681
307,0.16140000000000002,-1086.7149078373218
308,0.16160000000000002,-1089.2649308064006
309,0.16180000000000003,-1091.8105392460384
310,0.16200000000000003,-1094.3517462411805
311,0.1622,-1096.8885648218939
312,0.16240000000000002,-1099.4210079636673
313,0.16260000000000002,-1101.9490885877046
314,0.1628,-1104.4728195612188
315,0.16300000000000003,-1106.9922136977252
316,0.1632,-1109.5072837573282
317,0.16340000000000002,-1112.0180424470118
318,0.16360000000000002,-1114.524502420924
319,0.1638,-1117.0266762806605
320,0.16400000000000003,-1119.5245765755487
321,0.1642,-1122.0182158029245
322,0.16440000000000002,-1124.5076064084146
323,0.16460000000000002,-1126.9927607862105
324,0.1648,-1129.4736912793437
325,0.16500000000000004,-1131.95041017996
326,0.1652,-1134.4229297295874
327,0.16540000000000002,-1136.8912621194106
328,0.16560000000000002,-1139.3554194905332
329,0.1658,-1141.815413934247
330,0.16600000000000004,-1144.2712574922966
331,0.16620000000000001,-1146.7229621571378
332,0.16640000000000002,-1149.1705398722038
333,0.16660000000000003,-1151.6140025321597
334,0.1668,-1154.0533619831622
335,0.16700000000000004,-1156.4886300231155
336,0.16720000000000002,-1158.9198184019228
337,0.16740000000000002,-1161.346938821743
338,0.16760000000000003,-1163.7700029372375
339,0.1678,-1166.1890223558207
340,0.16800000000000004,-1168.6040086379094
341,0.16820000000000002,-1171.014973297165
342,0.16840000000000002,-1173.4219278007422
343,0.16860000000000003,-1175.8248835695283
344,0.1688,-1178.2238519783862
345,0.169,-1180.6188443563942
346,0.16920000000000002,-1183.009871987084
347,0.16940000000000002,-1185.3969461086763
348,0.16960000000000003,-1187.7800779143186
349,0.1698,-1190.1592785523146
350,0.17,-1192.5345591263617
351,0.17020000000000002,-1194.9059306957774
352,0.17040000000000002,-1197.273404275731
353,0.17060000000000003,-1199.6369908374706
354,0.1708,-1201.9967013085484
355,0.171,-1204.3525465730484
356,0.17120000000000002,-1206.7045374718068
357,0.17140000000000002,-1209.0526848026363
358,0.17160000000000003,-1211.3969993205465
359,0.1718,-1213.7374917379616
360,0.17200000000000001,-1216.0741727249406
361,0.17220000000000002,-1218.4070529093924
362,0.17240000000000003,-1220.7361428772913
363,0.17260000000000003,-1223.061453172892
364,0.1728,-1225.3829942989394
365,0.17300000000000001,-1227.7007767168834
366,0.17320000000000002,-1230.0148108470858
367,0.1734,-1232.3251070690305
368,0.17360000000000003,-1234.631675721531
369,0.1738,-1236.9345271029345
370,0.17400000000000002,-1239.2336714713285
371,0.17420000000000002,-1241.5291190447442
372,0.1744,-1243.8208800013563
373,0.17460000000000003,-1246.1089644796891
374,0.1748,-1248.3933825788088
375,0.17500000000000002,-1250.674144358529
376,0.17520000000000002,-1252.951259839604
377,0.1754,-1255.2247390039254
378,0.17560000000000003,-1257.4945917947186
379,0.1758,-1259.7608281167331
380,0.17600000000000002,-1262.0234578364389
381,0.17620000000000002,-1264.282490782215
382,0.1764,-1266.5379367445403
383,0.17660000000000003,-1268.789805476183
384,0.1768,-1271.0381066923865
385,0.17700000000000002,-1273.2828500710596
386,0.17720000000000002,-1275.5240452529583
387,0.1774,-1277.7617018418719
388,0.17760000000000004,-1279.9958294048067
389,0.1778,-1282.2264374721663
390,0.17800000000000002,-1284.4535355379344
391,0.17820000000000003,-1286.6771330598538
392,0.1784,-1288.8972394596053
393,0.17860000000000004,-1291.1138641229875
394,0.17880000000000001,-1293.3270164000878
395,0.17900000000000002,-1295.5367056054656
396,0.17920000000000003,-1297.7429410183204
397,0.1794,-1299.9457318826692
398,0.17960000000000004,-1302.1450874075176
399,0.17980000000000002,-1304.3410167670304
400,0.18000000000000002,-1306.5335291007045
401,0.18020000000000003,-1308.7226335135354
402,0.1804,-1310.9083390761866
403,0.18060000000000004,-1313.0906548251578
404,0.18080000000000002,-1315.26958976295
405,0.18100000000000002,-1317.445152858233
406,0.18120000000000003,-1319.6173530460057
407,0.1814,-1321.7861992277635
408,0.18160000000000004,-1323.9517002716595
409,0.18180000000000002,-1326.1138650126645
410,0.18200000000000002,-1328.2727022527292
411,0.18220000000000003,-1330.4282207609435
412,0.1824,-1332.5804292736937
413,0.18260000000000004,-1334.7293364948223
414,0.18280000000000002,-1336.8749510957837
415,0.18300000000000002,-1339.0172817157986
416,0.18320000000000003,-1341.1563369620112
417,0.1834,-1343.2921254096418
418,0.18360000000000004,-1345.4246556021412
419,0.18380000000000002,-1347.5539360513408
420,0.18400000000000002,-1349.6799752376048
421,0.18420000000000003,-1351.8027816099818
422,0.1844,-1353.922363586352
423,0.18460000000000004,-1356.0387295535786
424,0.18480000000000002,-1358.1518878676525
425,0.18500000000000003,-1360.2618468538417
426,0.18520000000000003,-1362.368614806836
427,0.1854,-1364.4721999908916
428,0.18560000000000001,-1366.5726106399784
429,0.18580000000000002,-1368.66985495792
430,0.18600000000000003,-1370.7639411185382
431,0.18620000000000003,-1372.8548772657946
432,0.1864,-1374.942671513931
433,0.18660000000000002,-1377.027331947611
434,0.18680000000000002,-1379.1088666220571
435,0.18700000000000003,-1381.1872835631925
436,0.18720000000000003,-1383.2625907677757
437,0.1874,-1385.3347962035386
438,0.18760000000000002,-1387.4039078093242
439,0.18780000000000002,-1389.4699334952202
440,0.18800000000000003,-1391.532881142694
441,0.18820000000000003,-1393.5927586047264
442,0.1884,-1395.6495737059458
443,0.18860000000000002,-1397.7033342427599
444,0.18880000000000002,-1399.7540479834865
445,0.189,-1401.8017226684856
446,0.18920000000000003,-1403.8463660102886
447,0.1894,-1405.8879856937274
448,0.18960000000000002,-1407.9265893760646
449,0.18980000000000002,-1409.96218468712
450,0.19,-1411.9947792293976
451,0.19020000000000004,-1414.0243805782125
452,0.1904,-1416.0509962818169
453,0.19060000000000002,-1418.0746338615247
454,0.19080000000000003,-1420.0953008118358
455,0.191,-1422.1130046005596
456,0.19120000000000004,-1424.1277526689382
457,0.19140000000000001,-1426.1395524317677
458,0.19160000000000002,-1428.1484112775217
459,0.19180000000000003,-1430.1543365684697
460,0.192,-1432.1573356407987
461,0.19220000000000004,-1434.1574158047324
462,0.19240000000000002,-1436.1545843446495
463,0.19260000000000002,-1438.1488485192026
464,0.19280000000000003,-1440.1402155614355
465,0.193,-1442.1286926788991
466,0.19320000000000004,-1444.1142870537683
467,0.19340000000000002,-1446.0970058429577
468,0.19360000000000002,-1448.076856178237
469,0.19380000000000003,-1450.053845166342
470,0.194,-1452.0279798890929
471,0.19420000000000004,-1453.9992674035045
472,0.19440000000000002,-1455.967714741898
473,0.19460000000000002,-1457.9333289120138
474,0.19480000000000003,-1459.896116897124
475,0.195,-1461.856085656139
476,0.19520000000000004,-1463.8132421237212
477,0.19540000000000002,-1465.767593210392
478,0.19560000000000002,-1467.7191458026416
479,0.19580000000000003,-1469.6679067630357
480,0.196,-1471.6138829303245
481,0.19620000000000004,-1473.5570811195496
482,0.19640000000000002,-1475.4975081221473
483,0.19660000000000002,-1477.4351707060587
484,0.19680000000000003,-1479.3700756158312
485,0.197,-1481.3022295727249
486,0.19720000000000004,-1483.2316392748169
487,0.19740000000000002,-1485.1583113971024
488,0.19760000000000003,-1487.0822525915994
489,0.19780000000000003,-1489.0034694874519
490,0.198,-1490.9219686910278
491,0.19820000000000004,-1492.8377567860257
492,0.19840000000000002,-1494.7508403335682
493,0.19860000000000003,-1496.6612258723096
494,0.19880000000000003,-1498.5689199185304
495,0.199,-1500.473928966237
496,0.19920000000000004,-1502.3762594872628
497,0.19940000000000002,-1504.2759179313614
498,0.19960000000000003,-1506.1729107263093
499,0.19980000000000003,-1508.0672442779987
500,0.2,-1509.958924970535
501,0.20020000000000004,-1511.847959166334
502,0.20040000000000002,-1513.7343532062148
503,0.20060000000000003,-1515.6181134094966
504,0.20080000000000003,-1517.4992460740916
505,0.201,-1519.377757476599
506,0.20120000000000002,-1521.2536538724
507,0.20140000000000002,-1523.126941495747
508,0.20160000000000003,-1524.9976265598593
509,0.20180000000000003,-1526.865715257013
510,0.202,-1528.7312137586327
511,0.20220000000000002,-1530.5941282153829
512,0.20240000000000002,-1532.4544647572561
513,0.20260000000000003,-1534.312229493666
514,0.20280000000000004,-1536.1674285135339
515,0.203,-1538.020067885379
516,0.20320000000000002,-1539.870153657407
517,0.20340000000000003,-1541.717691857596
518,0.20360000000000003,-1543.562688493787
519,0.20380000000000004,-1545.4051495537688
520,0.20400000000000001,-1547.2450810053642
521,0.20420000000000002,-1549.0824887965186
522,0.20440000000000003,-1550.9173788553821
523,0.2046,-1552.7497570903975
524,0.20480000000000004,-1554.5796293903836
525,0.20500000000000002,-1556.4070016246199
526,0.20520000000000002,-1558.2318796429313
527,0.20540000000000003,-1560.054269275768
528,0.2056,-1561.8741763342941
529,0.20580000000000004,-1563.6916066104645
530,0.20600000000000002,-1565.506565877111
531,0.20620000000000002,-1567.319059888022
532,0.20640000000000003,-1569.1290943780232
533,0.2066,-1570.9366750630602
534,0.20680000000000004,-1572.7418076402782
535,0.20700000000000002,-1574.5444977881007
536,0.20720000000000002,-1576.3447511663117
537,0.20740000000000003,-1578.1425734161307
538,0.2076,-1579.9379701602961
539,0.20780000000000004,-1581.7309470031407
540,0.20800000000000002,-1583.5215095306685
541,0.20820000000000002,-1585.309663310637
542,0.20840000000000003,-1587.0954138926277
543,0.2086,-1588.878766808129
544,0.20880000000000004,-1590.659727570608
545,0.20900000000000002,-1592.438301675589
546,0.20920000000000002,-1594.2144946007272
547,0.20940000000000003,-1595.9883118058854
548,0.2096,-1597.759758733208
549,0.20980000000000004,-1599.5288408071951
550,0.21000000000000002,-1601.2955634347768
551,0.21020000000000003,-1603.059932005387
552,0.21040000000000003,-1604.8219518910355
553,0.2106,-1606.5816284463826
554,0.21080000000000004,-1608.3389670088104
555,0.21100000000000002,-1610.0939728984945
556,0.21120000000000003,-1611.8466514184765
557,0.21140000000000003,-1613.5970078547352
558,0.2116,-1615.345047476258
559,0.21180000000000004,-1617.09077553511
560,0.21200000000000002,-1618.8341972665057
561,0.21220000000000003,-1620.5753178888797
562,0.21240000000000003,-1622.3141426039524
563,0.2126,-1624.0506765968044
564,0.21280000000000004,-1625.784925035941
565,0.21300000000000002,-1627.516893073364
566,0.21320000000000003,-1629.2465858446362
567,0.21340000000000003,-1630.9740084689543
568,0.2136,-1632.69916604921
569,0.21380000000000005,-1634.422063672063
570,0.21400000000000002,-1636.1427064080037
571,0.21420000000000003,-1637.861099311422
572,0.21440000000000003,-1639.577247420673
573,0.2146,-1641.291155758141
574,0.21480000000000005,-1643.0028293303071
575,0.21500000000000002,-1644.7122731278143
576,0.21520000000000003,-1646.4194921255296
577,0.21540000000000004,-1648.1244912826128
