,V_f (m^3),work (J)
0,0.1,-0.0
1,0.10020000000000001,-4.983695534841335
2,0.1004,-9.957453484775405
3,0.10060000000000001,-14.921313402438559
4,0.1008,-19.87531460479919
5,0.101,-24.819496175029016
6,0.10120000000000001,-29.753896964350687
7,0.1014,-34.67855559387063
8,0.10160000000000001,-39.59351045639378
9,0.1018,-44.498799718217064
10,0.10200000000000001,-49.394461320910445
11,0.10220000000000001,-54.280532983075005
12,0.1024,-59.157052202089346
13,0.10260000000000001,-64.02405625583381
14,0.1028,-68.88158220440133
15,0.10300000000000001,-73.72966689179162
16,0.1032,-78.56834694758567
17,0.1034,-83.39765878860885
18,0.10360000000000001,-88.21763862057315
19,0.1038,-93.0283224397069
20,0.10400000000000001,-97.82974603436854
21,0.1042,-102.62194498664194
22,0.1044,-107.4049546739211
23,0.10460000000000001,-112.17881027047497
24,0.1048,-116.94354674900035
25,0.10500000000000001,-121.69919888216023
26,0.1052,-126.4458012441041
27,0.10540000000000001,-131.18338821197872
28,0.1056,-135.91199396741936
29,0.1058,-140.63165249803225
30,0.10600000000000001,-145.34239759885793
31,0.1062,-150.04426287382418
32,0.10640000000000001,-154.73728173718553
33,0.1066,-159.42148741494537
34,0.1068,-164.09691294627044
35,0.10700000000000001,-168.76359118488634
36,0.1072,-173.42155480046398
37,0.10740000000000001,-178.07083627999276
38,0.1076,-182.71146792913765
39,0.1078,-187.34348187358893
40,0.10800000000000001,-191.9669100603941
41,0.1082,-196.58178425928094
42,0.10840000000000001,-201.1881360639684
43,0.1086,-205.78599689346197
44,0.10880000000000001,-210.3753979933423
45,0.10900000000000001,-214.9563704370368
46,0.1092,-219.5289451270831
47,0.10940000000000001,-224.09315279638048
48,0.1096,-228.64902400942748
49,0.10980000000000001,-233.19658916355218
50,0.11000000000000001,-237.73587849012694
51,0.1102,-242.26692205577544
52,0.11040000000000001,-246.78974976356812
53,0.1106,-251.30439135420443
54,0.11080000000000001,-255.81087640718866
55,0.11100000000000002,-260.3092343419904
56,0.11120000000000001,-264.79949441919814
57,0.11140000000000001,-269.28168574166205
58,0.1116,-273.7558372556233
59,0.11180000000000001,-278.2219777518387
60,0.112,-282.6801358666897
61,0.11220000000000001,-287.130340083286
62,0.11240000000000001,-291.57261873255595
63,0.1126,-296.00699999432953
64,0.11280000000000001,-300.43351189841144
65,0.113,-304.85218232564245
66,0.11320000000000001,-309.26303900895533
67,0.1134,-313.6661095344171
68,0.1136,-318.0614213422652
69,0.11380000000000001,-322.4490017279344
70,0.114,-326.8288778430717
71,0.11420000000000001,-331.20107669654703
72,0.1144,-335.56562515545005
73,0.11460000000000001,-339.92254994608305
74,0.11480000000000001,-344.27187765494114
75,0.115,-348.61363472968617
76,0.11520000000000001,-352.94784748011307
77,0.1154,-357.27454207910375
78,0.11560000000000001,-361.5937445635782
79,0.11580000000000001,-365.9054808354325
80,0.116,-370.20977666247154
81,0.11620000000000001,-374.506657679334
82,0.1164,-378.7961493884063
83,0.11660000000000001,-383.078277160733
84,0.11680000000000001,-387.3530662369154
85,0.117,-391.6205417280047
86,0.11720000000000001,-395.8807286163883
87,0.1174,-400.133651756665
88,0.11760000000000001,-404.3793358765178
89,0.11780000000000002,-408.6178055775738
90,0.11800000000000001,-412.84908533626094
91,0.11820000000000001,-417.07319950465705
92,0.1184,-421.2901723113283
93,0.11860000000000001,-425.5000278621657
94,0.11880000000000002,-429.7027901412097
95,0.11900000000000001,-433.89848301147083
96,0.1192,-438.0871302157438
97,0.1194,-442.26875537741154
98,0.11960000000000001,-446.4433820012468
99,0.11980000000000002,-450.6110334742027
100,0.12000000000000001,-454.7717330662002
101,0.1202,-458.92550393090823
102,0.12040000000000001,-463.07236910651454
103,0.12060000000000001,-467.2123515164951
104,0.1208,-471.34547397037204
105,0.12100000000000001,-475.47175916446963
106,0.1212,-479.5912296826602
107,0.12140000000000001,-483.7039079971078
108,0.12160000000000001,-487.80981646900193
109,0.1218,-491.9089773492878
110,0.12200000000000001,-496.00141277939065
111,0.1222,-500.08714479193134
112,0.12240000000000001,-504.16619531144045
113,0.12260000000000001,-508.2385861550621
114,0.1228,-512.304339033255
115,0.12300000000000001,-516.3634755504878
116,0.1232,-520.4160172059256
117,0.12340000000000001,-524.461985394116
118,0.12360000000000002,-528.5014014056644
119,0.12380000000000001,-532.534286427907
120,0.12400000000000001,-536.5606615455789
