,T (K),U (eV),F (eV),S (eV/K)
0,300.0,7.518464805436017e-06,-0.04632124718000929,0.00015442921881605315
1,301.0,7.656181536752626e-06,-0.04647567639882534,0.00015442967483172282
2,302.0,7.93476906224555e-06,-0.046630106529672734,0.0001544305987774934
3,303.0,8.221553754239608e-06,-0.04678453759638033,0.00015443154676592075
4,304.0,8.516713949191512e-06,-0.046938969623204575,0.00015443251922615808
5,305.0,8.82043024130752e-06,-0.047093402634832644,0.00015443351659052626
6,306.0,9.132885457674433e-06,-0.04724783665638563,0.00015443453929445128
7,307.0,9.454264668029566e-06,-0.04740227171342155,0.0001544355877763845
8,308.0,9.784755182984384e-06,-0.0475567078319384,0.00015443666247779222
9,309.0,1.0124546536260937e-05,-0.04771114503837713,0.0001544377638430794
10,310.0,1.0473830497126357e-05,-0.047865583359624556,0.00015443889231951322
11,311.0,1.0832801041082973e-05,-0.04802002282301616,0.00015444004835720934
12,312.0,1.120165436496734e-05,-0.048174463456338974,0.0001544412324090312
13,313.0,1.1580588867410313e-05,-0.04832890528783422,0.0001544424449305623
14,314.0,1.1969805147948875e-05,-0.0484833483462001,0.00015444368638004718
15,315.0,1.2369505991927099e-05,-0.048637792660594314,0.00015444495721828738
16,316.0,1.2779896365167076e-05,-0.048792238260636674,0.00015444625790865876
17,317.0,1.3201183415745277e-05,-0.04894668517641163,0.0001544475889169901
18,318.0,1.3633576443794482e-05,-0.049101133438470654,0.00015444895071151793
19,319.0,1.4077286910385567e-05,-0.04925558307783467,0.00015445034376283806
20,320.0,1.4532528412658507e-05,-0.04941003412599633,0.0001544517685438361
21,321.0,1.499951668826327e-05,-0.04956448661492234,0.00015445322552962507
22,322.0,1.547846959404353e-05,-0.04971894057705558,0.00015445471519747248
23,323.0,1.5969607092714e-05,-0.049873396045317285,0.00015445623802676223
24,324.0,1.6473151244866813e-05,-0.050027853053109105,0.00015445779449891825
25,325.0,1.698932621074789e-05,-0.05018231163431512,0.00015445938509732818
26,326.0,1.7518358195189876e-05,-0.05033677182330376,0.0001544610103073052
27,327.0,1.806047549557377e-05,-0.05049123365492973,0.00015446267061601168
28,328.0,1.861590843255101e-05,-0.050645697164535784,0.00015446436651238293
29,329.0,1.918488936425433e-05,-0.0508001623879545,0.00015446609848708895
30,330.0,1.9767652673863267e-05,-0.05095462936150996,0.00015446786703244772
31,331.0,2.0364434741182436e-05,-0.05110909812201939,0.00015446967264236972
32,332.0,2.0975473924877974e-05,-0.0512635687067947,0.00015447151581230584
33,333.0,2.1601010583793823e-05,-0.051418041153644005,0.00015447339703915722
34,334.0,2.2241287005897448e-05,-0.051572515500873016,0.00015447531682121624
35,335.0,2.2896547426043412e-05,-0.05172699178728644,0.00015447727565811448
36,336.0,2.3567038015315234e-05,-0.051881470052189245,0.00015447927405076375
37,337.0,2.425300683839282e-05,-0.052035950335387965,0.0001544813125012555
38,338.0,2.495470385532883e-05,-0.052190432677191756,0.00015448339151283297
39,339.0,2.567238089667967e-05,-0.05234491711841363,0.00015448551158980806
40,340.0,2.6406291651071e-05,-0.05249940370037137,0.00015448767323748142
41,341.0,2.7156691642105102e-05,-0.052653892464888594,0.00015448987696212516
42,342.0,2.792383820882094e-05,-0.05280838345429562,0.00015449212327087528
43,343.0,2.8707990489706958e-05,-0.052962876711430344,0.0001544944126716727
44,344.0,2.950940940671387e-05,-0.05311737227963897,0.0001544967456731973
45,345.0,3.0328357638609305e-05,-0.05327187020277674,0.0001544991227848333
